Metal,New Smelter ID,Smelter Name,Location,Status 
Gold,CID000035,Allgemeine Gold-und Silberscheideanstalt A.G.,Germany,Compliant
Gold,CID000058,AngloGold Ashanti C�rrego do S�tio Miner��o,Brazil,Compliant
Gold,CID000077,Argor-Heraeus SA,Switzerland,Compliant
Gold,CID000082,Asahi Pretec Corporation,Japan,Compliant
Gold,CID000185,CCR Refinery ﾖ Glencore Canada Corporation,Canada,Compliant
Gold,CID000233,Chimet S.p.A.,Italy,Compliant
Gold,CID000401,Dowa,Japan,Compliant
Gold,CID000425,"Eco-System Recycling Co., Ltd.",Japan,Compliant
Gold,CID000694,Heimerle + Meule GmbH,Germany,Compliant
Gold,CID000707,Heraeus Ltd. Hong Kong,Hong Kong,Compliant
Gold,CID000711,Heraeus Precious Metals GmbH & Co. KG,Germany,Compliant
Gold,CID000807,"Ishifuku Metal Industry Co., Ltd",Japan,Compliant
Gold,CID000814,Istanbul Gold Refinery,Turkey,Compliant
Gold,CID000920,Johnson Matthey Inc,USA,Compliant
Gold,CID000924,Johnson Matthey Ltd,Canada,Compliant
Gold,CID000937,"JX Nippon Mining & Metals Co., Ltd.",Japan,Compliant
Gold,CID000969,Kennecott Utah Copper LLC,USA,Compliant
Gold,CID000981,"Kojima Chemicals Co., Ltd",Japan,Compliant
Gold,CID001078,LS-NIKKO Copper Inc,Korea,Compliant
Gold,CID001113,Materion,USA,Compliant
Gold,CID001119,"Matsuda Sangyo Co., Ltd.",Japan,Compliant
Gold,CID001149,Metalor Technologies  (Hong Kong) Ltd,China,Compliant
Gold,CID001152,Metalor Technologies  (Singapore) Pte. Ltd,Singapore,Compliant
Gold,CID001153,Metalor Technologies  SA,Switzerland ,Compliant
Gold,CID001157,Metalor USA Refining Corporation,USA,Compliant
Gold,CID001188,Mitsubishi Materials Corporation,Japan,Compliant
Gold,CID001193,"Mitsui Mining and Smelting Co., Ltd.",Japan,Compliant
Gold,CID001259,Nihon Material Co. LTD,Japan,Compliant
Gold,CID001322,"Ohio Precious Metals, LLC",USA,Compliant
Gold,CID001325,"Ohura Precious Metal Industry Co., Ltd",Japan,Compliant
Gold,CID001352,PAMP SA,Switzerland,Compliant
Gold,CID002030,Western Austrailian Mint trading as The Perth Mint,Australia,Compliant
Gold,CID001512,Rand Refinery (Pty) Limited,South Africa,Compliant
Gold,CID001534,Royal Canadian Mint,Canada,Compliant
Gold,CID001585,SEMPSA Joyeria Plateria SA,Spain,Compliant
Gold,CID001761,Solar Applied Materials Technology Corp.,Taiwan,Compliant
Gold,CID001798,"Sumitomo Metal Mining Co., Ltd.",Japan,Compliant
Gold,CID001875,Tanaka Kikinzoku Kogyo K.K.,Japan,Compliant
Gold,CID001938,"Tokuriki Honten Co., Ltd",Japan,Compliant
Gold,CID002314,Umicore Precious Metals Thailandﾠ,Thailand,Compliant
Gold,CID001980,Umicore SA Business Unit Precious Metals Refining,Belgium,Compliant
Gold,CID001993,"United Precious Metals Refining, Inc.",USA,Compliant
Gold,CID002003,Valcambi S.A.,Switzerland,Compliant
Tin,CID000292,Alpha,USA,Compliant
Tin,CID000538,Gejiu Non-Ferrous Metal Processing Co. Ltd.,China,Compliant
Tin,CID001105,Malaysia Smelting Corporation (MSC),Malaysia,Compliant
Tin,CID001173,Minera��o Taboca S.A,Brazil,Compliant
Tin,CID001182,Minsur,Peru,Compliant
Tin,CID001191,Mitsubishi Materials Corporation,Japan,Compliant
Tin,CID001337,OMSA,Bolivia,Compliant
Tin,CID001428,PT Bukit Timah,Indonesia,Compliant
Tin,CID001477,PT Tambang Timah,Indonesia,Compliant
Tin,CID001482,PT Timah,Indonesia,Compliant
Tin,CID001898,Thaisarco,Thailand,Compliant
Tin,CID002036,White Solder Metalurgia e Minera��o Ltda.,Brazil,Compliant
Tin,CID002180,"Yunnan Tin Company, Ltd.",China,Compliant
Tantalum,CID000291,Conghua Tantalum and Niobium Smeltry,China,Compliant
Tantalum,CID000410,Duoluoshan,China,Compliant
Tantalum,CID000456,Exotech Inc.,USA,Compliant
Tantalum,CID000460,F & X,China,Compliant
Tantalum,CID000564,Global Advanced Metals,USA,Compliant
Tantalum,CID000616,"Guangdong Zhiyuan New Material Co., Ltd.",China,Compliant
Tantalum,CID000654,H.C. Starck Group,Germany,Compliant
Tantalum,CID002492,"Hengyang King Xing Lifeng New Materials Co., Ltd.",China,Compliant
Tantalum,CID000731,Hi-Temp,USA,Compliant
Tantalum,CID000914,"JiuJiang JinXin Nonferrous Metals Co., Ltd.",China,Compliant
Tantalum,CID000917,JiuJiang Tanbre Co. Ltd.,China,Compliant
Tantalum,CID000963,Kemet Blue Powder,USA,Compliant
Tantalum,CID001076,LSM Brasil S.A.,Brazil,Compliant
Tantalum,CID001163,Mettalurgical Products India Pvt. Ltd. (MPIL),India,Compliant
Tantalum,CID001175,Minera��o Taboca S.A.,Brazil,Compliant
Tantalum,CID001192,Mitsui Mining & Smelting,Japan,Compliant
Tantalum,CID001200,Molycorp,Estonia,Compliant
Tantalum,CID001277,"Ningxia Orient Tantalum Industry Co., Ltd",China,Compliant
Tantalum,CID001368,Plansee,Austria,Compliant
Tantalum,CID001508,QuantumClean,USA,Compliant
Tantalum,CID001522,"RFH Tantalum Smeltry Co., Ltd",China,Compliant
Tantalum,CID001769,Solikamsk Metal Works,Russia,Compliant
Tantalum,CID001869,Taki Chemicals,Japan,Compliant
Tantalum,CID001879,Tantalite Resources,South Africa,Compliant
Tantalum,CID001891,Telex,USA,Compliant
Tantalum,CID001969,Ulba,Kazakhstan,Compliant
Tantalum,ﾠCID002307,"Yichun Jin Yang Rare Metal Co., Ltd",China,Compliant
Tantalum,CID002232,Zhuzhou Cement Carbide,China,Compliant
Tungsten,CID002315,"Ganzhou Jiangwu Ferrotungsten Co., Ltd.",China,Compliant
Tungsten,CID000568,Global Tungsten & Powders Corp.,USA,Compliant
Tungsten,CID003319,"Malipo Haiyu Tungsten Co., Ltd.",China,Compliant
Gold,ID000157,Boliden AB,Sweden,Active
Gold,CID000189,Cendres & M�taux SA,Switzerland,Active
Tin,CID000244,China Rare Metal Materials Company,China,Active
Tin,CID001070,"China Tin Group Co., Ltd.",China ,Active
Tin,CID000295,Cooper Santa,Brazil,Active
Tin,CID000315,CV United Smelting,Indonesia,Active
Tin,CID000438,EM Vinto,Bolivia,Active
Tin,CID002468,Magnu's Minerais Metais e Ligas LTDA,Brazil,Active
Tin,CID002500,MeltﾠMetaisﾠe LigasﾠS/A,Brazil,Active
Tin,CID001143,Metallo Chimique,Belgium,Active
Tin,CID001412,PT Bangka Putra Karya, Indonesia,Active
Tin,CID001419,PT Bangka Tin Industry, Indonesia,Active
Tin,CID001434,PT DS Jaya Abadi, Indonesia,Active
Tin,CID001438,PT Eunindo Usaha Mandiri, Indonesia,Active
Tin,CID001460,PT Refined Bangka Tin, Indonesia,Active
Tin,CID001468,PT Stanindo Inti Perkasa, Indonesia,Active
Tin,CID001490,PT Tinindo Inter Nusa, Indonesia,Active
Tin,CID001539,Rui Da Hung,China ,Active
Tin,CID001758,"Soft Metais, Ltda.",Brazil,Active
Tin,CID002158,"Yunnan Chengfeng Non-ferrous Metals Co.,Ltd.",China ,Active
Tantalum,CID000211,"Changsha South Tantalum Niobium Co., Ltd.",China ,Active
Tungsten,CID002502,Asia Tungsten Products Vietnam Ltd,Vietnam,Active
Tungsten,CID000875,"Ganzhou Huaxing Tungsten Products Co., Ltd.",China ,Active
Tungsten,CID000524,"Ganzhou Grand Sea W & Mo Group Co., Ltd.",China ,Active
Tungsten,CID000218,"Guangdong Xianglu Tungsten Co., Ltd.",China ,Active
Tungsten,CID000769,"Hunan Chunchang Nonferrous Metals Co., Ltd.",China ,Active
Tungsten,CID002320,"Xiamen Tungsten (H.C) Co., Ltd.",China ,Active
Tungsten,CID002082,"Xiamen Tungsten Co., Ltd.",China ,Active
Tungsten,CID000004,A.L.M.T. Corp.,Japan,Progressing
Tungsten,CID002236,"China Minmetals Non-ferrous Metals Holding Co., Ltd",China ,Progressing
Tungsten,CID000875,"China Minmetals Non-ferrous Metals Holding Co., Ltd",China ,Progressing
Tungsten,CID002321,"China Minmetals Non-ferrous Metals Holding Co., Ltd",China ,Progressing
Tungsten,CID000258,"Chongyi Zhangyuan Tungsten Co., Ltd.",China ,Progressing
Tungsten,CID000345,"Dayu Weiliang Tungsten Co., Ltd.",China ,Progressing
Tungsten,CID000499,"Fujian Jinxin Tungsten Co., Ltd.",China ,Progressing
Tungsten,CID000524,"Ganzhou Grand Sea W & Mo Group Co., Ltd.",China ,Progressing
Tungsten,CID000683,HC Starck Group,Germany,Progressing
Tungsten,CID000766,"Hunan Chenzhou Mining Group Co., Ltd.",China ,Progressing
Tungsten,CID000966,Kennametal Inc.,USA,Progressing
Tungsten,CID001889,"Tejing (Vietnam) Tungsten Co., Ltd.",Vietnam,Progressing
Tungsten,ﾠCID002011,"Vietnam Youngsun Tungsten Industry Co., Ltd.",Vietnam,Progressing
Tungsten,CID002044,Wolfram Bergbau und H�tten AG,Austria,Progressing
Tungsten,CID002047,Wolfram Company CJSC,Russia,Progressing
Tungsten,CID002082,"Xiamen Tungsten Co., Ltd.",China ,Progressing
, ,,,
